Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,59.000000,59.980000,50.310001,51.310001,51.310001,994100
2020-03-24,58.900002,58.990002,48.020000,53.639999,53.639999,579700
2020-03-25,53.630001,53.685001,47.200001,47.200001,47.200001,333200
2020-03-26,52.000000,55.750000,50.000000,55.000000,55.000000,471600
2020-03-27,54.830002,55.400002,51.320000,55.000000,55.000000,246200
2020-03-30,60.000000,64.449997,59.040001,62.000000,62.000000,591200
2020-03-31,59.860001,62.000000,57.000000,58.400002,58.400002,243300
2020-04-01,56.349998,58.195000,52.480000,52.919998,52.919998,259100
2020-04-02,55.500000,56.930000,53.000000,56.910000,56.910000,245700
2020-04-03,57.980000,57.980000,52.009998,52.750000,52.750000,227300
2020-04-06,55.500000,55.599998,52.400002,52.730000,52.730000,331000
2020-04-07,50.000000,50.200001,44.000000,45.599998,45.599998,1461700
2020-04-08,48.099998,48.099998,44.509998,44.950001,44.950001,819800
2020-04-09,52.009998,53.000000,45.000000,45.410000,45.410000,1483000
2020-04-13,46.020000,46.389999,41.000000,41.709999,41.709999,880700
2020-04-14,43.820000,43.980000,41.400002,41.630001,41.630001,863900
2020-04-15,40.900002,41.240002,38.130001,38.580002,38.580002,980600
2020-04-16,38.759998,39.259998,37.000000,38.790001,38.790001,849400
2020-04-17,40.299999,41.707001,38.875000,40.810001,40.810001,1008300
2020-04-20,41.490002,45.900002,41.000000,43.369999,43.369999,1278800
2020-04-21,45.270000,45.900002,39.799999,42.259998,42.259998,1507200
2020-04-22,54.439999,55.849998,45.200001,53.500000,53.500000,10852500
2020-04-23,58.000000,58.000000,49.220001,50.000000,50.000000,4271200
2020-04-24,51.240002,51.490002,47.599998,47.750000,47.750000,1822700
2020-04-27,48.889999,50.250000,48.160000,49.400002,49.400002,1183300
2020-04-28,48.599998,48.980000,44.799999,45.830002,45.830002,1511200
2020-04-29,48.000000,49.700001,46.130001,49.250000,49.250000,1766400
2020-04-30,49.209999,49.220001,46.020000,47.480000,47.480000,1034100
2020-05-01,46.000000,46.990002,43.000000,45.110001,45.110001,874600
2020-05-04,45.200001,47.470001,44.360001,45.779999,45.779999,784900
2020-05-05,48.410000,50.375000,47.706001,50.000000,50.000000,2604800
2020-05-06,50.139999,50.200001,47.500000,47.779999,47.779999,889400
2020-05-07,49.259998,49.500000,48.349998,49.320000,49.320000,815300
2020-05-08,49.160000,49.888000,48.208000,49.240002,49.240002,696100
2020-05-11,49.610001,50.790001,47.914001,49.980000,49.980000,1887400
2020-05-12,50.400002,52.119999,49.200001,49.330002,49.330002,1910200
2020-05-13,50.500000,50.889999,47.430000,48.490002,48.490002,1468800
2020-05-14,48.560001,49.080002,45.080002,48.660000,48.660000,1099100
2020-05-15,48.509998,49.740002,48.200001,49.490002,49.490002,793800
2020-05-18,54.740002,60.430000,50.599998,60.169998,60.169998,5013900
2020-05-19,57.000000,57.939999,49.950001,50.590000,50.590000,3612100
2020-05-20,53.209999,53.720001,51.619999,53.040001,53.040001,1979300
2020-05-21,54.099998,54.200001,51.145000,51.900002,51.900002,1094300
2020-05-22,52.150002,52.610001,50.759998,51.029999,51.029999,941600
2020-05-26,52.400002,52.549999,49.340000,50.880001,50.880001,1511100
2020-05-27,49.529999,50.220001,46.299999,47.590000,47.590000,1810200
2020-05-28,48.340000,50.110001,46.752998,46.869999,46.869999,1107900
2020-05-29,48.189999,49.529999,47.160000,49.529999,49.529999,760600
2020-06-01,50.000000,53.209999,49.540001,52.299999,52.299999,1275800
2020-06-02,51.980000,52.849998,50.099998,52.380001,52.380001,688500
2020-06-03,51.849998,52.230000,49.540001,51.160000,51.160000,1379900
2020-06-04,50.450001,51.860001,49.700001,50.000000,50.000000,623300
2020-06-05,49.799999,50.230000,48.500000,49.180000,49.180000,768700
2020-06-08,49.220001,49.241001,47.419998,48.779999,48.779999,1142400
2020-06-09,47.799999,48.099998,46.869999,47.790001,47.790001,970100
2020-06-10,47.799999,47.999001,46.549999,47.410000,47.410000,913100
2020-06-11,49.000000,49.189999,47.070000,48.599998,48.599998,1324800
2020-06-12,49.369999,49.439999,47.009998,48.580002,48.580002,858800
2020-06-15,48.720001,51.169998,48.290001,50.849998,50.849998,1087500
2020-06-16,51.000000,51.500000,49.090000,49.900002,49.900002,901100
2020-06-17,49.750000,51.500000,49.500000,50.849998,50.849998,723000
2020-06-18,49.860001,51.590000,49.830002,50.939999,50.939999,691500
2020-06-19,50.900002,51.580002,49.910000,51.360001,51.360001,735800
2020-06-22,51.950001,58.900002,51.849998,57.450001,57.450001,2678200
2020-06-23,55.619999,56.000000,51.520000,52.750000,52.750000,2142200
2020-06-24,53.000000,55.349998,51.810001,54.730000,54.730000,1344500
2020-06-25,54.509998,59.919998,53.520000,59.709999,59.709999,2406400
2020-06-26,56.630001,63.369999,56.500000,62.130001,62.130001,2830700
2020-06-29,65.680000,71.379997,64.120003,65.800003,65.800003,4011400
2020-06-30,66.160004,68.250000,62.220001,66.739998,66.739998,1979100
2020-07-01,77.699997,79.379997,62.299999,64.139999,64.139999,9879300
2020-07-02,68.245003,69.389999,62.730000,63.270000,63.270000,3926500
2020-07-06,65.589996,66.900002,64.330002,65.510002,65.510002,1649400
2020-07-07,64.000000,70.889999,63.509998,69.339996,69.339996,2264400
2020-07-08,67.209999,68.580002,66.459999,67.559998,67.559998,1449600
2020-07-09,66.610001,68.000000,64.510002,65.610001,65.610001,1186700
2020-07-10,67.000000,71.290001,67.000000,70.360001,70.360001,2874300
2020-07-13,78.470001,84.889999,75.750000,77.779999,77.779999,8529600
2020-07-14,82.570000,85.000000,78.000000,83.879997,83.879997,4748700
2020-07-15,86.080002,87.580002,76.800003,78.000000,78.000000,3908700
2020-07-16,80.500000,80.500000,74.559998,75.870003,75.870003,2847900
2020-07-17,76.540001,86.400002,76.419998,85.250000,85.250000,5053500
2020-07-20,91.747002,96.089996,85.769997,88.199997,88.199997,7790800
2020-07-21,92.000000,97.820000,90.050003,91.599998,91.599998,6025500
2020-07-22,99.190002,104.989998,93.650002,104.169998,104.169998,13817800
2020-07-23,97.514000,101.150002,87.000000,88.510002,88.510002,15899700
2020-07-24,86.300003,86.699997,80.339996,84.169998,84.169998,7109700
2020-07-27,87.440002,88.199997,81.774002,86.529999,86.529999,5129200
2020-07-28,89.000000,90.400002,84.099998,85.379997,85.379997,5108600
2020-07-29,85.540001,86.790001,80.019997,82.500000,82.500000,3846300
2020-07-30,79.050003,84.879997,78.000000,84.160004,84.160004,3302800
2020-07-31,86.000000,86.949997,80.849998,82.110001,82.110001,2640500
2020-08-03,82.989998,85.480003,81.839996,85.470001,85.470001,2431700
2020-08-04,84.440002,84.500000,81.080002,83.169998,83.169998,2410300
2020-08-05,82.820000,83.199997,76.845001,81.300003,81.300003,4084400
2020-08-06,79.290001,80.260002,76.580002,77.080002,77.080002,3175200
2020-08-07,77.089996,78.540001,74.029999,77.000000,77.000000,3038200
2020-08-10,77.000000,77.278000,70.900002,73.949997,73.949997,2830600
2020-08-11,69.000000,72.879997,66.510002,68.449997,68.449997,4032200
2020-08-12,70.889999,71.160004,66.120003,69.110001,69.110001,3252000
2020-08-13,68.250000,71.529999,67.304001,71.000000,71.000000,2390900
2020-08-14,70.930000,70.980003,68.019997,68.639999,68.639999,1862400
2020-08-17,69.089996,71.356003,68.809998,70.260002,70.260002,1948000
2020-08-18,69.690002,70.349998,67.059998,67.879997,67.879997,1905100
2020-08-19,67.419998,67.480003,65.010002,65.599998,65.599998,2326600
2020-08-20,66.077003,70.290001,64.080002,66.269997,66.269997,2932600
2020-08-21,71.769997,76.279999,70.339996,73.019997,73.019997,6290400
2020-08-24,76.989998,77.400002,69.750000,70.849998,70.849998,3393900
2020-08-25,70.070000,70.500000,68.209999,70.489998,70.489998,1576200
2020-08-26,70.000000,70.000000,67.050003,67.900002,67.900002,1711400
2020-08-27,68.199997,68.690002,64.790001,65.589996,65.589996,1980500
2020-08-28,65.040001,65.500000,63.320000,64.000000,64.000000,1760000
2020-08-31,62.820000,63.180000,60.340000,61.250000,61.250000,2217200
2020-09-01,58.709999,60.529999,56.660000,57.810001,57.810001,3569600
2020-09-02,56.009998,63.290001,54.959999,61.990002,61.990002,3892800
2020-09-03,63.450001,63.669998,57.099998,59.279999,59.279999,2586000
2020-09-04,59.279999,59.959999,54.099998,58.570000,58.570000,1985500
2020-09-08,60.160000,61.000000,58.689999,59.830002,59.830002,2887800
2020-09-09,63.000000,63.380001,60.599998,62.320000,62.320000,3406900
2020-09-10,62.000000,62.279999,60.500000,61.200001,61.200001,1751800
2020-09-11,61.452000,65.279999,61.049999,65.129997,65.129997,2515200
2020-09-14,67.500000,69.650002,66.769997,67.480003,67.480003,3373600
2020-09-15,70.000000,70.000000,66.150002,66.919998,66.919998,3168300
2020-09-16,65.510002,67.290001,65.407997,66.040001,66.040001,2231500
2020-09-17,66.820000,68.709999,65.150002,66.779999,66.779999,2860000
2020-09-18,68.010002,68.440002,65.169998,67.000000,67.000000,2608900
2020-09-21,65.559998,66.199997,62.299999,66.120003,66.120003,2118700
2020-09-22,65.379997,67.757004,63.610001,67.050003,67.050003,1572300
2020-09-23,67.250000,67.279999,63.686001,63.830002,63.830002,1678000
2020-09-24,62.619999,63.930000,58.810001,62.830002,62.830002,2863400
2020-09-25,61.270000,66.871002,61.270000,66.690002,66.690002,1670500
2020-09-28,66.989998,67.800003,65.720001,66.500000,66.500000,1750000
2020-09-29,66.599998,67.109001,65.760002,66.860001,66.860001,847600
2020-09-30,67.400002,69.470001,67.098000,69.230003,69.230003,1746800
2020-10-01,70.000000,72.870003,69.309998,72.709999,72.709999,2371700
2020-10-02,71.849998,75.000000,71.160004,73.699997,73.699997,2327800
2020-10-05,75.699997,81.559998,75.650002,80.699997,80.699997,3750600
2020-10-06,86.839996,88.300003,83.519997,85.589996,85.589996,5702100
2020-10-07,83.320000,86.440002,80.699997,86.230003,86.230003,2354700
2020-10-08,85.830002,89.430000,85.599998,87.949997,87.949997,1826000
2020-10-09,88.980003,90.000000,87.500000,89.040001,89.040001,1462500
2020-10-12,91.000000,91.900002,87.599998,88.739998,88.739998,2573100
2020-10-13,90.080002,94.015999,89.559998,93.000000,93.000000,2527500
2020-10-14,95.418999,95.440002,85.050003,86.860001,86.860001,4180000
2020-10-15,85.650002,90.418999,85.500000,90.379997,90.379997,2029700
2020-10-16,93.599998,94.150002,91.550003,94.089996,94.089996,2792500
2020-10-19,96.230003,97.290001,92.239998,93.919998,93.919998,2800200
2020-10-20,93.919998,96.116997,91.611000,94.349998,94.349998,1872100
2020-10-21,92.750000,92.940002,85.669998,87.720001,87.720001,3384600
2020-10-22,88.989998,90.120003,85.417000,86.360001,86.360001,2205900
2020-10-23,89.605003,89.989998,87.059998,88.690002,88.690002,2079700
2020-10-26,88.220001,89.839996,80.349998,82.930000,82.930000,2879900
2020-10-27,83.000000,84.055000,80.510002,83.949997,83.949997,2222100
2020-10-28,79.889999,80.739998,75.345001,77.540001,77.540001,2566100
2020-10-29,81.489998,85.769997,79.220001,84.809998,84.809998,2512000
2020-10-30,87.010002,88.500000,83.050003,85.360001,85.360001,2253000
2020-11-02,87.903999,88.000000,83.180000,87.099998,87.099998,2139900
2020-11-03,84.910004,88.199997,84.849998,87.220001,87.220001,1082600
2020-11-04,86.510002,91.128998,86.510002,90.690002,90.690002,1701500
2020-11-05,91.330002,92.839996,89.669998,92.000000,92.000000,1459800
2020-11-06,92.000000,92.199997,90.330002,92.000000,92.000000,861300
2020-11-09,114.019997,115.000000,98.510002,104.800003,104.800003,14614900
2020-11-10,110.000000,113.400002,106.199997,112.760002,112.760002,8029100
2020-11-11,112.000000,112.500000,108.612999,109.449997,109.449997,3274100
2020-11-12,106.809998,107.128998,100.500000,101.629997,101.629997,3596500
2020-11-13,104.120003,108.199997,103.370003,106.000000,106.000000,2997500
2020-11-16,96.639999,97.000000,87.070000,91.519997,91.519997,11171600
2020-11-17,89.000000,92.000000,86.650002,86.930000,86.930000,4057400
2020-11-18,90.800003,92.459999,88.260002,90.440002,90.440002,5772600
2020-11-19,91.599998,95.089996,91.290001,94.930000,94.930000,3400100
2020-11-20,100.000000,105.330002,99.050003,104.070000,104.070000,6776800
2020-11-23,109.730003,109.980003,104.199997,106.500000,106.500000,5194200
2020-11-24,100.919998,103.430000,97.559998,101.870003,101.870003,3864000
2020-11-25,100.000000,106.059998,99.099998,104.959999,104.959999,3007400
2020-11-27,106.440002,111.199997,106.099998,109.989998,109.989998,3874600
2020-11-30,113.639999,124.910004,113.500000,124.239998,124.239998,9934800
2020-12-01,124.500000,128.130005,108.000000,114.010002,114.010002,9634500
2020-12-02,120.849998,123.589996,116.430000,121.089996,121.089996,7164700
2020-12-03,119.849998,121.800003,115.000000,118.680000,118.680000,4264600
2020-12-04,117.842003,120.750000,114.419998,120.000000,120.000000,3142600
2020-12-07,121.000000,126.379997,121.000000,125.699997,125.699997,4925300
2020-12-08,127.000000,129.899994,126.500000,128.110001,128.110001,4597500
2020-12-09,128.990005,129.050003,116.580002,122.809998,122.809998,5265200
2020-12-10,123.820000,129.949997,123.199997,129.539993,129.539993,5381300
2020-12-11,130.100006,131.000000,124.639999,127.300003,127.300003,4303700
2020-12-14,126.628998,127.000000,105.250000,108.269997,108.269997,10907900
2020-12-15,114.209999,116.260002,108.330002,111.199997,111.199997,5711800
2020-12-16,112.220001,112.849998,102.330002,105.779999,105.779999,4802600
2020-12-17,102.635002,107.589996,101.620003,106.430000,106.430000,3487800
2020-12-18,106.459999,106.769997,102.570000,104.239998,104.239998,3108200
2020-12-21,107.510002,107.970001,104.570000,106.459999,106.459999,2611000
2020-12-22,107.070000,107.209999,95.599998,100.559998,100.559998,5021000
2020-12-23,97.120003,100.500000,95.000000,100.059998,100.059998,3414000
2020-12-24,98.500000,99.889999,96.639999,96.959999,96.959999,1039100
2020-12-28,95.000000,95.400002,87.070000,88.110001,88.110001,4698900
2020-12-29,84.449997,89.389999,83.852997,88.279999,88.279999,3300400
2020-12-30,90.000000,90.889999,83.027000,83.940002,83.940002,2941100
2020-12-31,83.379997,85.500000,80.550003,81.519997,81.519997,2607100
2021-01-04,85.450996,88.129997,83.000000,85.730003,85.730003,3138000
2021-01-05,87.949997,88.980003,84.889999,86.779999,86.779999,1970900
2021-01-06,86.754997,91.489998,86.250000,91.160004,91.160004,3070800
2021-01-07,94.000000,94.790001,91.010002,93.690002,93.690002,2980500
2021-01-08,98.099998,101.199997,97.000000,100.389999,100.389999,3988400
2021-01-11,102.839996,109.400002,102.099998,108.900002,108.900002,4772800
2021-01-12,104.970001,107.678001,101.010002,105.449997,105.449997,3560300
2021-01-13,103.480003,106.000000,102.040001,102.610001,102.610001,1816000
2021-01-14,102.790001,106.500000,102.260002,105.849998,105.849998,1910200
2021-01-15,104.250000,104.989998,97.250000,101.589996,101.589996,3151600
2021-01-19,101.260002,105.440002,100.199997,104.699997,104.699997,2018200
2021-01-20,104.410004,105.500000,102.330002,103.230003,103.230003,1615700
2021-01-21,104.000000,107.300003,103.199997,105.430000,105.430000,2256300
2021-01-22,104.500000,108.480003,104.315002,108.440002,108.440002,1696300
2021-01-25,108.000000,110.980003,105.139999,110.610001,110.610001,2882600
2021-01-26,110.279999,112.832001,105.489998,106.290001,106.290001,3863900
2021-01-27,105.150002,110.863998,103.019997,105.970001,105.970001,2139600
2021-01-28,107.662003,111.239998,106.599998,110.000000,110.000000,2296600
2021-01-29,114.940002,118.169998,111.400002,116.940002,116.940002,6622800
2021-02-01,117.849998,119.540001,113.489998,116.099998,116.099998,2898200
2021-02-02,115.000000,115.879997,110.559998,114.760002,114.760002,1906700
2021-02-03,114.209999,119.250000,113.709999,118.019997,118.019997,2426900
2021-02-04,117.900002,120.088997,116.989998,117.559998,117.559998,1441700
2021-02-05,117.430000,119.209999,116.559998,117.570000,117.570000,875000
2021-02-08,117.610001,120.989998,117.599998,119.500000,119.500000,1922900
2021-02-09,119.970001,119.980003,117.120003,117.529999,117.529999,1099200
2021-02-10,119.055000,120.330002,117.099998,119.349998,119.349998,1397500
2021-02-11,119.000000,119.930000,115.419998,118.029999,118.029999,1350900
2021-02-12,118.489998,118.800003,115.849998,117.559998,117.559998,1027800
2021-02-16,117.000000,117.820000,112.550003,114.379997,114.379997,1517500
2021-02-17,113.110001,113.989998,108.120003,113.559998,113.559998,1331900
2021-02-18,108.000000,113.610001,107.360001,112.650002,112.650002,1604800
2021-02-19,113.099998,116.879997,113.019997,115.690002,115.690002,1381500
2021-02-22,117.449997,119.800003,114.029999,114.599998,114.599998,1578000
2021-02-23,110.779999,112.226997,106.199997,111.970001,111.970001,2088700
2021-02-24,110.510002,114.580002,109.230003,114.169998,114.169998,1405100
2021-02-25,114.870003,117.349998,111.180000,112.330002,112.330002,1129800
2021-02-26,113.900002,114.980003,109.029999,109.029999,109.029999,1028600
2021-03-01,110.000000,111.449997,108.059998,110.209999,110.209999,885200
2021-03-02,109.860001,109.860001,104.239998,104.980003,104.980003,1090800
2021-03-03,104.830002,105.000000,97.250000,97.250000,97.250000,2139800
2021-03-04,97.400002,100.905998,92.510002,95.150002,95.150002,2330500
2021-03-05,95.680000,96.839996,91.220001,96.199997,96.199997,1692200
2021-03-08,94.830002,95.699997,90.290001,90.290001,90.290001,1515600
2021-03-09,94.110001,97.930000,93.570000,96.480003,96.480003,1314900
2021-03-10,100.787003,101.989998,97.080002,98.019997,98.019997,1376100
2021-03-11,100.500000,103.000000,100.239998,102.599998,102.599998,1059200
2021-03-12,99.339996,103.279999,99.010002,103.279999,103.279999,785500
2021-03-15,103.989998,108.150002,102.042000,107.879997,107.879997,1365500
2021-03-16,109.258003,110.980003,104.699997,108.099998,108.099998,1374800
2021-03-17,105.739998,107.800003,102.800003,106.660004,106.660004,918800
2021-03-18,104.389999,104.910004,103.029999,103.650002,103.650002,700800
2021-03-19,104.500000,107.800003,102.820000,107.589996,107.589996,1145200
2021-03-22,106.629997,108.699997,106.320000,107.000000,107.000000,631800
2021-03-23,107.330002,107.349998,100.110001,100.110001,100.110001,1210400
2021-03-24,100.239998,101.480003,93.389999,94.050003,94.050003,2204100
2021-03-25,94.099998,97.449997,92.931000,95.129997,95.129997,1299400
2021-03-26,97.500000,97.540001,93.820000,95.760002,95.760002,908300
2021-03-29,97.540001,98.870003,93.760002,95.910004,95.910004,1066200
2021-03-30,99.800003,106.475998,98.599998,104.440002,104.440002,3464000
2021-03-31,109.467003,111.000000,107.099998,109.190002,109.190002,2178900
